Account Name,Deal Stage,Amount,Close Date,Created Date,Owner,Industry,Region
Bates Ltd,negotiation,45503.2,6/8/2026,5/18/2025,David Potter,Healthcare,North America
Brown-Black,PROPOSAL,54341.07,12/5/2026,5/30/2025,Catherine Ray,Education,Europe
Romero PLC,Negotiation,59997.43,10/25/2026,4/29/2025,Marissa Perry,Finance,North America
Spencer-Wright,QUALIFICATION,,12/26/2026,5/23/2025,Jason Hudson,Finance,Europe
Tucker LLC,prospecting,79005.88,10/27/2026,5/3/2025,Kimberly Morgan,Healthcare,South America
Kennedy-Thornton,closed won,78510.96,11/27/2025,5/13/2025,Craig Johnson,Technology,South America
Schroeder and Sons,closed won,15868.65,10/24/2026,1/17/2025,Yvette Griffith,Education,Europe
Orr Ltd,prospecting,25595.61,12/31/2026,2/21/2025,Amanda Owens,Technology,Europe
Hall-Sparks,Negotiation,11727.03,,5/6/2025,David Rocha,Education,South America
Myers Ltd,,52757.84,5/25/2026,2/6/2025,Jessica Ball,Finance,Asia
Compton Inc,Closed Won,76695.33,1/16/2026,3/29/2025,Alexandra Ramos,Retail,North America
,PROSPECTING,36723.61,11/30/2025,5/19/2025,Richard Warren,Healthcare,Europe
Robinson Ltd,PROSPECTING,14182.6,4/24/2026,4/1/2025,Marissa Perry,Education,Asia
,proposal,84999.64,2/8/2026,4/6/2025,Yvette Griffith,Healthcare,South America
Harris and Sons,Closed Won,77667.84,4/20/2026,3/11/2025,Craig Johnson,Education,Asia
Rodriguez Group,proposal,14242.74,2/27/2026,4/8/2025,Craig Johnson,,South America
Parks Inc,Negotiation,42652.28,3/26/2026,5/8/2025,Jessica Ball,Healthcare,South America
"Pearson, James and Wagner",Closed Lost,47959.92,,3/25/2025,Kristen Obrien,Finance,Europe
"Burke, Gonzalez and Mcknight",Closed Lost,33788.96,10/21/2025,3/30/2025,Nicole Curtis,Healthcare,South America
Terry-Baldwin,PROSPECTING,27794.58,1/10/2026,1/1/2025,Alexandra Ramos,Finance,Europe
Brown-Black,Qualification,77295.33,7/24/2026,4/26/2025,David Potter,Manufacturing,Asia
Graham-Simon,Closed Lost,28207.12,2/9/2026,3/25/2025,Brittany Chaney,Retail,Europe
Wilson and Sons,negotiation,54660.96,12/2/2025,1/25/2025,Kristen Obrien,Education,South America
"Moreno, Griffin and Lewis",Closed Lost,50037.06,9/25/2026,5/18/2025,Kathleen Harris,Finance,Europe
"Johnson, Brown and Robinson",closed lost,75432.66,2/11/2026,1/26/2025,Brittany Chaney,Healthcare,South America
Liu-Malone,,,4/24/2026,,Bradley Macdonald,Finance,North America
Brooks LLC,PROSPECTING,20656.34,7/20/2026,1/27/2025,Robert Moore,Retail,Asia
Liu-Malone,Prospecting,8953.64,10/20/2025,4/2/2025,Jennifer Cox,Healthcare,North America
Kennedy-Thornton,Negotiation,75712.71,7/16/2026,5/8/2025,Yvette Griffith,Retail,Asia
"Cole, Fischer and Adams",Negotiation,,7/6/2026,1/29/2025,Traci Bell DDS,Education,South America
Small PLC,Prospecting,32746.92,2/6/2026,4/30/2025,David Potter,Manufacturing,South America
"Johnson, Brown and Robinson",Closed Won,,12/5/2026,1/1/2025,David Potter,Technology,Europe
Larson-Erickson,Closed Lost,13545.47,2/18/2026,1/25/2025,Nicole Curtis,Retail,North America
"Cole, Fischer and Adams",CLOSED WON,23178.37,2/4/2026,1/23/2025,Marissa Perry,Finance,South America
Paul Ltd,Closed Lost,56231.97,8/26/2026,3/15/2025,,Education,Europe
Parker-Brown,proposal,84523.25,1/17/2026,2/3/2025,Craig Johnson,Education,Europe
Spencer-Wright,negotiation,53176.8,4/21/2026,3/2/2025,Kimberly Morgan,Healthcare,South America
,prospecting,43130.42,11/12/2026,1/9/2025,Martin Johnston,Manufacturing,South America
Pineda Ltd,Qualification,26789.11,11/1/2026,3/18/2025,Brittany Chaney,Technology,South America
,Closed Won,21620.31,9/29/2026,5/12/2025,Kimberly Morgan,Retail,Asia
Small PLC,Qualification,34351.93,5/15/2026,2/10/2025,Ryan Mann,Manufacturing,Europe
Tyler Group,closed won,79745.35,11/25/2026,4/30/2025,Ryan Mann,Technology,North America
Rodriguez Group,negotiation,57295.07,6/8/2026,5/25/2025,Martin Johnston,Retail,North America
Roman-Parker,proposal,99300.36,7/28/2026,4/10/2025,Jason Hudson,Finance,South America
Cabrera-Blake,Prospecting,99017.7,7/7/2026,5/9/2025,Jennifer Cox,Technology,South America
Lang-Freeman,qualification,89557.41,3/17/2026,3/3/2025,Yvette Griffith,Education,Asia
Romero PLC,Negotiation,39164.06,1/28/2026,3/6/2025,,Healthcare,North America
Newman Ltd,closed lost,89743.28,3/29/2026,3/24/2025,Rebecca Spence,Retail,Asia
Castaneda-Phillips,proposal,53040.07,6/11/2026,3/23/2025,Alexandra Ramos,Manufacturing,South America
Harris and Sons,PROSPECTING,55580.14,3/15/2026,,Rebecca Spence,Education,
Green Inc,Negotiation,25093.97,11/9/2025,4/2/2025,Rebecca Spence,Healthcare,Europe
Spencer-Wright,,67443.61,10/3/2025,5/4/2025,Robert Moore,Retail,South America
Larson-Erickson,PROPOSAL,82185.94,10/7/2026,3/1/2025,Brittany Chaney,Retail,North America
Newman Ltd,PROPOSAL,47833.97,1/26/2026,4/24/2025,Ryan Mann,Education,South America
Tucker LLC,Negotiation,70484.11,2/3/2026,1/9/2025,Ryan Mann,Finance,Europe
"Davis, Woods and Lewis",prospecting,7123.94,5/19/2026,4/3/2025,Jennifer Cox,Retail,South America
Jimenez Ltd,closed won,31817.2,12/14/2026,4/30/2025,Kristen Obrien,,Europe
Grant-Phillips,proposal,89426.63,10/13/2026,1/8/2025,Ryan Mann,Manufacturing,Europe
"Mcgrath, Salazar and Perez",Prospecting,68992.36,12/8/2026,5/3/2025,Robert Moore,Healthcare,Asia
Mclaughlin Inc,Qualification,7962.02,,5/12/2025,Craig Johnson,Finance,North America
Schroeder and Sons,Proposal,3100.27,8/16/2026,1/1/2025,,Technology,Asia
"Cole, Fischer and Adams",CLOSED LOST,93959.12,9/12/2026,4/1/2025,Catherine Ray,Healthcare,Europe
"Lynch, Johnson and Hester",Qualification,79167.7,12/7/2026,3/30/2025,Kathleen Harris,Finance,Asia
"Fisher, Sweeney and Newman",Proposal,90112.13,3/12/2026,3/29/2025,Martin Johnston,Healthcare,North America
Small PLC,Closed Lost,49058.41,1/17/2026,3/17/2025,Craig Johnson,Finance,Europe
Green LLC,Closed Won,"$88,749.84 ",9/19/2026,1/6/2025,Bradley Macdonald,Technology,North America
Black Group,CLOSED WON,91132.14,5/4/2026,3/22/2025,Brittany Chaney,Healthcare,South America
,qualification,2656.01,3/23/2026,1/1/2025,Miss Dorothy Collins DVM,Manufacturing,Europe
Castaneda-Phillips,CLOSED LOST,98836.45,12/12/2026,2/20/2025,Jonathan Patterson,Finance,South America
"Thompson, Nelson and Peterson",PROSPECTING,54722.15,1/15/2026,4/27/2025,,Education,North America
Larson-Erickson,Closed Won,70564.84,4/22/2026,3/22/2025,Ryan Mann,Technology,Europe
"Sosa, Scott and Goodwin",Proposal,11371.98,1/12/2026,1/19/2025,Mark Lopez,Manufacturing,Europe
Johnson Ltd,Qualification,80712.74,6/7/2026,5/9/2025,Richard Warren,Finance,Europe
"Mcgrath, Salazar and Perez",prospecting,34606.83,7/24/2026,5/23/2025,Ryan Mann,Education,Asia
"Carpenter, Hutchinson and Vance",Negotiation,86095.03,1/15/2026,,Nicole Curtis,Finance,Asia
Lyons Inc,proposal,75614.66,6/7/2026,6/1/2025,Bradley Macdonald,Education,North America
Tucker LLC,qualification,"$29,740.83 ",3/11/2026,4/24/2025,Robert Moore,Education,Europe
Carr PLC,closed won,85303.86,11/9/2025,2/14/2025,David Potter,Manufacturing,North America
Brooks LLC,Closed Lost,43202.09,10/9/2026,1/16/2025,Traci Bell DDS,Finance,Asia
Graham-Simon,CLOSED WON,53986.38,5/30/2026,2/6/2025,Ryan Mann,Manufacturing,North America
"Carpenter, Hutchinson and Vance",qualification,14553.72,10/30/2026,3/10/2025,Mark Lopez,Manufacturing,North America
Rogers-Rhodes,QUALIFICATION,30313.45,2/8/2026,5/24/2025,Kathleen Harris,Finance,North America
"Sosa, Scott and Goodwin",Proposal,17167.32,4/4/2026,3/4/2025,Miss Dorothy Collins DVM,Healthcare,South America
Carlson-Brown,qualification,39385.29,1/21/2026,3/8/2025,Nicole Curtis,Retail,Europe
Pineda Ltd,Prospecting,55042.68,11/10/2025,3/6/2025,Jason Hudson,Technology,Asia
Jones-Wilson,,1848.42,1/22/2026,1/29/2025,Craig Johnson,,Asia
"Kaufman, Abbott and Mendez",qualification,"$80,245.58 ",1/30/2026,2/5/2025,Spencer Stanley,Education,North America
Spencer-Wright,Prospecting,64352.14,1/26/2026,3/17/2025,Kristen Obrien,Retail,Europe
"Johnson, Brown and Robinson",CLOSED WON,5519.91,12/26/2026,3/28/2025,Jennifer Cox,Finance,Europe
Pineda Ltd,closed won,38520.81,10/6/2026,,James Burke,Finance,South America
Liu-Malone,,10076.46,10/4/2026,4/22/2025,Marissa Perry,Healthcare,Asia
Grant-Phillips,Negotiation,11556.08,5/28/2026,2/21/2025,Robert Moore,Education,Asia
Wright-Moran,negotiation,83250.46,11/9/2026,3/18/2025,Yvette Griffith,Finance,Asia
Johnson Ltd,proposal,11450.31,3/29/2026,1/24/2025,James Burke,Healthcare,Asia
Sweeney-Graves,Closed Lost,37844.93,6/7/2026,5/1/2025,Ryan Mann,Finance,Asia
Brown-Mcpherson,,5510.75,4/18/2026,4/19/2025,Jennifer Cox,Technology,North America
"Marshall, Combs and Johnson",negotiation,37334.6,11/20/2025,2/13/2025,Bradley Macdonald,Manufacturing,Asia
Wilson and Sons,Negotiation,80331.11,3/23/2026,4/12/2025,Robert Moore,Technology,Europe
"Palmer, Sloan and Clark",Negotiation,39799.58,12/2/2026,2/10/2025,Brittany Chaney,Retail,South America
Green LLC,Qualification,87824.07,4/13/2026,4/10/2025,Traci Bell DDS,Education,South America
Castaneda-Phillips,Prospecting,31280.65,8/2/2026,3/28/2025,Michael Horton,Finance,South America
Smith-Moore,CLOSED LOST,95842.69,12/2/2026,2/27/2025,,Healthcare,South America
Cabrera-Blake,NEGOTIATION,"$28,887.99 ",2/5/2026,4/12/2025,Craig Johnson,Education,South America
Wright-Moran,NEGOTIATION,34802.08,,1/28/2025,Robert Moore,Finance,South America
"Davis, Woods and Lewis",closed won,29395.19,10/24/2026,1/6/2025,Mark Lopez,Healthcare,Asia
Orr Ltd,Negotiation,23910.14,12/4/2025,3/24/2025,David Potter,Finance,Europe
Richardson LLC,Closed Won,60232.85,10/16/2026,4/22/2025,Brittany Chaney,Finance,South America
"Palmer, Sloan and Clark",Prospecting,57964.91,12/21/2026,5/6/2025,Alexandra Ramos,Technology,South America
Ross-Sparks,Prospecting,52635.18,1/23/2026,2/27/2025,Ryan Mann,Healthcare,Europe
,closed lost,72223.8,5/19/2026,5/27/2025,Rebecca Spence,Healthcare,Europe
Hurst and Sons,proposal,43622.27,12/31/2026,3/29/2025,Denise Lee,Healthcare,
Brooks LLC,Closed Won,2641.21,,1/1/2025,,Manufacturing,North America
"Burke, Gonzalez and Mcknight",Qualification,11756.66,12/29/2026,4/23/2025,Brittany Chaney,Technology,North America
Green LLC,Negotiation,"$36,016.93 ",4/9/2026,1/7/2025,Kimberly Morgan,Finance,Asia
Ross-Sparks,NEGOTIATION,82976.14,10/11/2026,4/3/2025,Yvette Griffith,Manufacturing,South America
